percentualProtestos,status,definicaoRisco,valorAprovado,endividamento,passivoCirculante,totalAtivo,totalPatrimonioLiquido,faturamentoBruto,scorePontualidade,percentualRisco,categoria
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,300000.0,0.0,2538069.0,19415777.0,7519758.0,11958227.0,1.0,0.0566037735849056,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,150000.0,0.0,1922318.0,36377344.0,34440755.0,24551233.0,1.0,0.0566037735849056,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,60000.0,0.0,564957.0,14438808.0,13841257.0,10087739.0,1.0,0.0377358490566037,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,100000.0,0.0,257772.0,1012223.0,1012223.0,3652617.0,1.0,0.0943396226415094,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,60000.0,0.0,13851725.0,24093560.0,10153690.0,61496930.0,1.0,0.0566037735849056,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,150000.0,0.0,33115677.0,96091171.0,56121408.0,68644820.0,1.0,0.0377358490566037,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,530000.0,0.0,10538518.0,23345038.0,6257403.0,25038845.0,0.9370702299,0.0566037735849056,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,50000.0,0.0,564957.0,14438808.0,13841257.0,10087739.0,1.0,0.0377358490566037,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,250000.0,0.0,71429859.0,323196268.0,244009083.0,709069792.0,0.9999999763,0.0377358490566037,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,180000.0,0.0,61466010.0,64437727.0,1376433.0,200771296.0,1.0,0.0377358490566037,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,100000.0,0.0,2959093.0,24618228.0,22561000.0,9139060.0,0.25,0.0943396226415094,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,300000.0,0.0,298912244.0,442789173.0,143876928.0,1414468218.0,1.0,0.0377358490566037,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,700000.0,0.0,10538518.0,23345038.0,6257403.0,25038845.0,0.9370702299,0.0566037735849056,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,200000.0,0.0,6865000.0,19250000.0,12386000.0,36833000.0,0.8324439607,0.0943396226415094,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,75000.0,0.0,679939.0,8517825.0,7398391.0,12525274.0,0.0,0.0943396226415094,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,150000.0,0.0,2000162.0,7281889.0,5281727.0,24993836.0,1.0,0.0943396226415094,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,110000.0,0.0,3749913.0,6973344.0,3223422.0,15175917.0,1.0,0.0566037735849056,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,180000.0,0.0,4224816.0,16782927.0,3675549.0,33505605.0,0.0,0.0377358490566037,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,160000.0,0.0,2821778.0,8971185.0,1587622.0,18866297.0,1.0,0.0566037735849056,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,180000.0,0.0,337703.0,5841069.0,5503365.0,11411386.0,0.0,0.0566037735849056,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,55000.0,0.0,1466507.0,1488698.0,1143216.0,3077900.0,1.0,0.0754716981132075,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,80000.0,0.0,1158182.0,6914627.0,2582249.0,16031005.0,1.0,0.0943396226415094,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,170000.0,0.0,221212.0,10233308.0,10012096.0,5679219.0,1.0,0.0377358490566037,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,360000.0,0.0,61466010.0,64437727.0,1376433.0,200771296.0,1.0,0.0377358490566037,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,1000000.0,0.0,10538518.0,23345038.0,6257403.0,25038845.0,0.9370702299,0.0377358490566037,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,1200000.0,0.0,10396943.0,68666171.0,58269228.0,80654482.0,0.0,0.0377358490566037,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,200000.0,0.0,96389589.0,135886027.0,39496437.0,172206811.0,1.0,0.0377358490566037,Bom
