percentualProtestos,status,definicaoRisco,valorAprovado,endividamento,passivoCirculante,totalAtivo,totalPatrimonioLiquido,faturamentoBruto,scorePontualidade,percentualRisco,categoria
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,50000.0,0.0,0.0,0.0,0.0,1766880.0,1.0,0.2830188679245283,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,2814940.0,1.0,0.2830188679245283,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,15000.0,0.0,0.0,0.0,0.0,1285274.0,0.0,0.6037735849056604,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,50000.0,3039112.0,12149031.0,25793410.0,14544378.0,40779757.0,1.0,0.1698113207547169,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,918476.0,0.0,0.3773584905660377,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,80000.0,0.0,0.0,0.0,0.0,239016696.0,0.0,0.4150943396226415,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,400000.0,0.0,13843198.0,39455945.0,25612746.0,72479551.0,1.0,0.1132075471698113,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,0.8315898944,0.0,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,800000.0,366465.0,704245.0,3609498.0,2538787.0,4575646.0,0.0,0.3962264150943396,Ruim
0.0,AprovadoComite,De 31 a 50 % - Médio,50000.0,1715000.0,6118711.0,5595689.0,-720844.0,13871246.0,0.0,0.4150943396226415,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,1138000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490566037735849,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,200000.0,1567918.0,11680162.0,12582116.0,901953.0,36783195.0,1.0,0.2075471698113207,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,750000.0,10499029.0,107180320.0,218446735.0,111266414.0,538430217.0,0.0,0.3962264150943396,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,3900000.0,10499029.0,107180320.0,218446735.0,111266414.0,538430217.0,0.0,0.3773584905660377,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,350000.0,10499026.0,107180320.0,218446735.0,111266414.0,538430217.0,0.0,0.3018867924528301,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,1600000.0,0.0,50773.0,1164378.0,1113605.0,57950454.0,0.9999758553,0.1132075471698113,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,34000.0,0.0,0.0,0.0,0.0,2915470.0,1.0,0.4339622641509433,Ruim
0.0,AprovadoComite,De 51 a 80 % - Alto,180000.0,0.0,1164378.0,1164378.0,1113605.0,1976986.0,0.6913422987,0.5283018867924528,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,50000.0,0.0,139759.0,3775553.0,3414586.0,9077423.0,0.9918288416,0.320754716981132,Ruim
0.0,AprovadoComite,De 31 a 50 % - Médio,200000.0,141143911.0,463089426.0,732841447.0,-112089780.0,282662079.0,0.7694721926,0.4339622641509433,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,300000.0,0.0,0.0,0.0,0.0,30348455.0,1.0,0.2641509433962264,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ruim
0.0,ReprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,47730.0,0.0,0.4339622641509433,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,100000.0,0.0,26941726.0,7906301.0,7492447.0,23161787.0,1.0,0.2641509433962264,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,20000.0,102438.0,235201.0,395460.0,53053.0,1011836.0,1.0,0.3962264150943396,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,10000.0,0.0,0.0,0.0,0.0,480000.0,1.0,0.3962264150943396,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6037735849056604,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ruim
0.0,ReprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,1592690.0,1592690.0,1165590.0,1421389.0,1.0,0.490566037735849,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,30000.0,0.0,0.0,0.0,0.0,3359403.0,1.0,0.2830188679245283,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,2316989.0,1.0,0.2641509433962264,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,10000.0,0.0,0.0,0.0,0.0,102444.0,0.0,0.660377358490566,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,5159452.0,0.0,0.150943396226415,Ruim
0.0,ReprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,172560.0,1.0,0.5094339622641509,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,272388.0,450614.0,178225.0,624350.0,0.0,0.2830188679245283,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,47595914.0,1.0,0.1698113207547169,Ruim
